start_sec,end_sec,transfer_bytes,transfer_units,bitrate_bps,bitrate_units,jitter_ms,lost_packets,total_packets,loss_percent
0.0,1.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
1.0,2.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
2.0,3.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
3.0,4.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,864,
4.0,5.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
5.0,6.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
6.0,7.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,864,
7.0,8.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
8.0,9.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
9.0,10.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
10.0,11.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,864,
11.0,12.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
12.0,13.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
13.0,14.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
14.0,15.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,864,
15.0,16.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
16.0,17.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
17.0,18.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
18.0,19.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,864,
19.0,20.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
20.0,21.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
21.0,22.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
22.0,22.91,1132462.08,MBytes,10000000.0,Mbits/sec,,,783,
0.0,22.91,28626124.8,MBytes,10000000.0,Mbits/sec,,,0,
0.0,22.91,0.0,KBytes,0.0,Kbits/sec,,,0,
0.0,1.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
1.0,2.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
2.0,3.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
3.0,4.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,864,
4.0,5.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
5.0,6.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
6.0,7.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,864,
7.0,8.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
8.0,9.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
9.0,10.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
10.0,10.92,1153433.6,MBytes,10000000.0,Mbits/sec,,,798,
0.0,10.92,13631488.0,MBytes,10000000.0,Mbits/sec,,,0,
0.0,10.92,0.0,KBytes,0.0,Kbits/sec,,,0,
